alpha,p_incorrect,n_abstained,seed,model,dataset_key
0.9,0.8549382716049383,1944,2,baseline,olympiadMath_phi3
0.1,0.9675925925925926,216,3,baseline,olympiadMath_phi3
0.2,0.9745370370370371,432,3,baseline,olympiadMath_phi3
0.3,0.9567901234567902,648,3,baseline,olympiadMath_phi3
0.4,0.9432870370370371,864,3,baseline,olympiadMath_phi3
0.5,0.9351851851851852,1080,3,baseline,olympiadMath_phi3
0.6,0.9282407407407407,1296,3,baseline,olympiadMath_phi3
0.7,0.91005291005291,1512,3,baseline,olympiadMath_phi3
0.8,0.8831018518518519,1728,3,baseline,olympiadMath_phi3
0.9,0.8641975308641975,1944,3,baseline,olympiadMath_phi3
0.1,0.9768518518518519,216,4,baseline,olympiadMath_phi3
0.2,0.9722222222222222,432,4,baseline,olympiadMath_phi3
0.3,0.9675925925925926,648,4,baseline,olympiadMath_phi3
0.4,0.9606481481481481,864,4,baseline,olympiadMath_phi3
0.5,0.9398148148148148,1080,4,baseline,olympiadMath_phi3
0.6,0.9135802469135802,1296,4,baseline,olympiadMath_phi3
0.7,0.8928571428571429,1512,4,baseline,olympiadMath_phi3
0.8,0.8738425925925926,1728,4,baseline,olympiadMath_phi3
0.9,0.8539094650205762,1944,4,baseline,olympiadMath_phi3
0.1,0.7870370370370371,216,0,lora_abstention,olympiadMath_phi3
0.2,0.8055555555555556,432,0,lora_abstention,olympiadMath_phi3
0.3,0.8194444444444444,648,0,lora_abstention,olympiadMath_phi3
0.4,0.8252314814814815,864,0,lora_abstention,olympiadMath_phi3
0.5,0.8240740740740741,1080,0,lora_abstention,olympiadMath_phi3
0.6,0.8402777777777778,1296,0,lora_abstention,olympiadMath_phi3
0.7,0.8379629629629629,1512,0,lora_abstention,olympiadMath_phi3
0.8,0.8339120370370371,1728,0,lora_abstention,olympiadMath_phi3
0.9,0.8359053497942387,1944,0,lora_abstention,olympiadMath_phi3
0.1,0.7870370370370371,216,1,lora_abstention,olympiadMath_phi3
0.2,0.8055555555555556,432,1,lora_abstention,olympiadMath_phi3
0.3,0.8194444444444444,648,1,lora_abstention,olympiadMath_phi3
0.4,0.8252314814814815,864,1,lora_abstention,olympiadMath_phi3
0.5,0.8240740740740741,1080,1,lora_abstention,olympiadMath_phi3
0.6,0.8402777777777778,1296,1,lora_abstention,olympiadMath_phi3
0.7,0.8379629629629629,1512,1,lora_abstention,olympiadMath_phi3
0.8,0.8339120370370371,1728,1,lora_abstention,olympiadMath_phi3
0.9,0.8359053497942387,1944,1,lora_abstention,olympiadMath_phi3
0.1,0.7870370370370371,216,2,lora_abstention,olympiadMath_phi3
0.2,0.8055555555555556,432,2,lora_abstention,olympiadMath_phi3
0.3,0.8194444444444444,648,2,lora_abstention,olympiadMath_phi3
0.4,0.8252314814814815,864,2,lora_abstention,olympiadMath_phi3
0.5,0.8240740740740741,1080,2,lora_abstention,olympiadMath_phi3
0.6,0.8402777777777778,1296,2,lora_abstention,olympiadMath_phi3
0.7,0.8379629629629629,1512,2,lora_abstention,olympiadMath_phi3
0.8,0.8339120370370371,1728,2,lora_abstention,olympiadMath_phi3
0.9,0.8359053497942387,1944,2,lora_abstention,olympiadMath_phi3
0.1,0.7870370370370371,216,3,lora_abstention,olympiadMath_phi3
0.2,0.8055555555555556,432,3,lora_abstention,olympiadMath_phi3
0.3,0.8194444444444444,648,3,lora_abstention,olympiadMath_phi3
0.4,0.8252314814814815,864,3,lora_abstention,olympiadMath_phi3
0.5,0.8240740740740741,1080,3,lora_abstention,olympiadMath_phi3
0.6,0.8402777777777778,1296,3,lora_abstention,olympiadMath_phi3
0.7,0.8379629629629629,1512,3,lora_abstention,olympiadMath_phi3
0.8,0.8339120370370371,1728,3,lora_abstention,olympiadMath_phi3
0.9,0.8359053497942387,1944,3,lora_abstention,olympiadMath_phi3
0.1,0.7870370370370371,216,4,lora_abstention,olympiadMath_phi3
0.2,0.8055555555555556,432,4,lora_abstention,olympiadMath_phi3
0.3,0.8194444444444444,648,4,lora_abstention,olympiadMath_phi3
0.4,0.8252314814814815,864,4,lora_abstention,olympiadMath_phi3
0.5,0.8240740740740741,1080,4,lora_abstention,olympiadMath_phi3
0.6,0.8402777777777778,1296,4,lora_abstention,olympiadMath_phi3
0.7,0.8379629629629629,1512,4,lora_abstention,olympiadMath_phi3
0.8,0.8339120370370371,1728,4,lora_abstention,olympiadMath_phi3
0.9,0.8359053497942387,1944,4,lora_abstention,olympiadMath_phi3
0.1,0.7129629629629629,216,0,self_assessment,olympiadMath_phi3
0.2,0.7268518518518519,432,0,self_assessment,olympiadMath_phi3
0.3,0.7608024691358025,648,0,self_assessment,olympiadMath_phi3
0.4,0.7858796296296297,864,0,self_assessment,olympiadMath_phi3
0.5,0.7944444444444444,1080,0,self_assessment,olympiadMath_phi3
0.6,0.783179012345679,1296,0,self_assessment,olympiadMath_phi3
0.7,0.7976190476190477,1512,0,self_assessment,olympiadMath_phi3
0.8,0.8049768518518519,1728,0,self_assessment,olympiadMath_phi3
0.9,0.8256172839506173,1944,0,self_assessment,olympiadMath_phi3
0.1,0.7129629629629629,216,1,self_assessment,olympiadMath_phi3
0.2,0.7268518518518519,432,1,self_assessment,olympiadMath_phi3
0.3,0.7608024691358025,648,1,self_assessment,olympiadMath_phi3
0.4,0.7858796296296297,864,1,self_assessment,olympiadMath_phi3
0.5,0.7944444444444444,1080,1,self_assessment,olympiadMath_phi3
0.6,0.783179012345679,1296,1,self_assessment,olympiadMath_phi3
0.7,0.7976190476190477,1512,1,self_assessment,olympiadMath_phi3
0.8,0.8049768518518519,1728,1,self_assessment,olympiadMath_phi3
0.9,0.8256172839506173,1944,1,self_assessment,olympiadMath_phi3
0.1,0.7129629629629629,216,2,self_assessment,olympiadMath_phi3
0.2,0.7268518518518519,432,2,self_assessment,olympiadMath_phi3
0.3,0.7608024691358025,648,2,self_assessment,olympiadMath_phi3
0.4,0.7858796296296297,864,2,self_assessment,olympiadMath_phi3
0.5,0.7944444444444444,1080,2,self_assessment,olympiadMath_phi3
0.6,0.783179012345679,1296,2,self_assessment,olympiadMath_phi3
0.7,0.7976190476190477,1512,2,self_assessment,olympiadMath_phi3
0.8,0.8049768518518519,1728,2,self_assessment,olympiadMath_phi3
0.9,0.8256172839506173,1944,2,self_assessment,olympiadMath_phi3
0.1,0.7129629629629629,216,3,self_assessment,olympiadMath_phi3
0.2,0.7268518518518519,432,3,self_assessment,olympiadMath_phi3
0.3,0.7608024691358025,648,3,self_assessment,olympiadMath_phi3
0.4,0.7858796296296297,864,3,self_assessment,olympiadMath_phi3
0.5,0.7944444444444444,1080,3,self_assessment,olympiadMath_phi3
0.6,0.783179012345679,1296,3,self_assessment,olympiadMath_phi3
0.7,0.7976190476190477,1512,3,self_assessment,olympiadMath_phi3
0.8,0.8049768518518519,1728,3,self_assessment,olympiadMath_phi3
0.9,0.8256172839506173,1944,3,self_assessment,olympiadMath_phi3
0.1,0.7129629629629629,216,4,self_assessment,olympiadMath_phi3
0.2,0.7268518518518519,432,4,self_assessment,olympiadMath_phi3
0.3,0.7608024691358025,648,4,self_assessment,olympiadMath_phi3
0.4,0.7858796296296297,864,4,self_assessment,olympiadMath_phi3
0.5,0.7944444444444444,1080,4,self_assessment,olympiadMath_phi3
0.6,0.783179012345679,1296,4,self_assessment,olympiadMath_phi3
0.7,0.7976190476190477,1512,4,self_assessment,olympiadMath_phi3
0.8,0.8049768518518519,1728,4,self_assessment,olympiadMath_phi3
0.9,0.8256172839506173,1944,4,self_assessment,olympiadMath_phi3
0.1,0.8935185185185185,216,0,full,olympiadMath_qwen
0.2,0.8958333333333334,432,0,full,olympiadMath_qwen
0.3,0.8858024691358025,648,0,full,olympiadMath_qwen
0.4,0.8576388888888888,864,0,full,olympiadMath_qwen
0.5,0.8231481481481482,1080,0,full,olympiadMath_qwen
0.6,0.7908950617283951,1296,0,full,olympiadMath_qwen
0.7,0.7533068783068783,1512,0,full,olympiadMath_qwen
0.8,0.6898148148148148,1728,0,full,olympiadMath_qwen
0.9,0.6239711934156379,1944,0,full,olympiadMath_qwen
0.1,0.8703703703703703,216,1,full,olympiadMath_qwen
0.2,0.8912037037037037,432,1,full,olympiadMath_qwen
0.3,0.8811728395061729,648,1,full,olympiadMath_qwen
0.4,0.8611111111111112,864,1,full,olympiadMath_qwen
0.5,0.8287037037037037,1080,1,full,olympiadMath_qwen
0.6,0.8070987654320988,1296,1,full,olympiadMath_qwen
0.7,0.753968253968254,1512,1,full,olympiadMath_qwen
0.8,0.6927083333333334,1728,1,full,olympiadMath_qwen
0.9,0.6234567901234568,1944,1,full,olympiadMath_qwen
0.1,0.8703703703703703,216,2,full,olympiadMath_qwen
0.2,0.8865740740740741,432,2,full,olympiadMath_qwen
0.3,0.8703703703703703,648,2,full,olympiadMath_qwen
0.4,0.8495370370370371,864,2,full,olympiadMath_qwen
0.5,0.8351851851851851,1080,2,full,olympiadMath_qwen
0.6,0.8009259259259259,1296,2,full,olympiadMath_qwen
0.7,0.751984126984127,1512,2,full,olympiadMath_qwen
0.8,0.6903935185185185,1728,2,full,olympiadMath_qwen
0.9,0.6239711934156379,1944,2,full,olympiadMath_qwen
0.1,0.8657407407407407,216,3,full,olympiadMath_qwen
0.2,0.8842592592592593,432,3,full,olympiadMath_qwen
0.3,0.8780864197530864,648,3,full,olympiadMath_qwen
0.4,0.8379629629629629,864,3,full,olympiadMath_qwen
0.5,0.825925925925926,1080,3,full,olympiadMath_qwen
0.6,0.7970679012345679,1296,3,full,olympiadMath_qwen
0.7,0.7559523809523809,1512,3,full,olympiadMath_qwen
0.8,0.6903935185185185,1728,3,full,olympiadMath_qwen
0.9,0.6239711934156379,1944,3,full,olympiadMath_qwen
0.1,0.875,216,4,full,olympiadMath_qwen
0.2,0.8981481481481481,432,4,full,olympiadMath_qwen
0.3,0.8626543209876543,648,4,full,olympiadMath_qwen
0.4,0.8483796296296297,864,4,full,olympiadMath_qwen
0.5,0.825,1080,4,full,olympiadMath_qwen
0.6,0.8001543209876543,1296,4,full,olympiadMath_qwen
0.7,0.7592592592592593,1512,4,full,olympiadMath_qwen
0.8,0.6898148148148148,1728,4,full,olympiadMath_qwen
0.9,0.6229423868312757,1944,4,full,olympiadMath_qwen
0.1,0.6388888888888888,216,0,baseline,olympiadMath_qwen
0.2,0.6041666666666666,432,0,baseline,olympiadMath_qwen
0.3,0.6003086419753086,648,0,baseline,olympiadMath_qwen
0.4,0.6111111111111112,864,0,baseline,olympiadMath_qwen
0.5,0.6055555555555555,1080,0,baseline,olympiadMath_qwen
0.6,0.6141975308641975,1296,0,baseline,olympiadMath_qwen
0.7,0.625,1512,0,baseline,olympiadMath_qwen
0.8,0.6273148148148148,1728,0,baseline,olympiadMath_qwen
0.9,0.6198559670781894,1944,0,baseline,olympiadMath_qwen
0.1,0.6064814814814815,216,1,baseline,olympiadMath_qwen
0.2,0.5949074074074074,432,1,baseline,olympiadMath_qwen
0.3,0.5848765432098766,648,1,baseline,olympiadMath_qwen
0.4,0.5868055555555556,864,1,baseline,olympiadMath_qwen
0.5,0.5861111111111111,1080,1,baseline,olympiadMath_qwen
0.6,0.5702160493827161,1296,1,baseline,olympiadMath_qwen
0.7,0.5701058201058201,1512,1,baseline,olympiadMath_qwen
0.8,0.5920138888888888,1728,1,baseline,olympiadMath_qwen
0.9,0.5848765432098766,1944,1,baseline,olympiadMath_qwen
0.1,0.6481481481481481,216,2,baseline,olympiadMath_qwen
0.2,0.6944444444444444,432,2,baseline,olympiadMath_qwen
0.3,0.7222222222222222,648,2,baseline,olympiadMath_qwen
0.4,0.7199074074074074,864,2,baseline,olympiadMath_qwen
0.5,0.6962962962962963,1080,2,baseline,olympiadMath_qwen
0.6,0.6550925925925926,1296,2,baseline,olympiadMath_qwen
0.7,0.6263227513227513,1512,2,baseline,olympiadMath_qwen
0.8,0.6134259259259259,1728,2,baseline,olympiadMath_qwen
0.9,0.6018518518518519,1944,2,baseline,olympiadMath_qwen
0.1,0.6064814814814815,216,3,baseline,olympiadMath_qwen
0.2,0.5787037037037037,432,3,baseline,olympiadMath_qwen
0.3,0.5709876543209876,648,3,baseline,olympiadMath_qwen
0.4,0.5763888888888888,864,3,baseline,olympiadMath_qwen
0.5,0.5722222222222222,1080,3,baseline,olympiadMath_qwen
0.6,0.5794753086419753,1296,3,baseline,olympiadMath_qwen
0.7,0.5859788359788359,1512,3,baseline,olympiadMath_qwen
0.8,0.5862268518518519,1728,3,baseline,olympiadMath_qwen
0.9,0.5889917695473251,1944,3,baseline,olympiadMath_qwen
0.1,0.6990740740740741,216,4,baseline,olympiadMath_qwen
0.2,0.6597222222222222,432,4,baseline,olympiadMath_qwen
0.3,0.625,648,4,baseline,olympiadMath_qwen
0.4,0.6122685185185185,864,4,baseline,olympiadMath_qwen
0.5,0.6046296296296296,1080,4,baseline,olympiadMath_qwen
0.6,0.5987654320987654,1296,4,baseline,olympiadMath_qwen
0.7,0.6005291005291006,1512,4,baseline,olympiadMath_qwen
0.8,0.6001157407407407,1728,4,baseline,olympiadMath_qwen
0.9,0.5997942386831275,1944,4,baseline,olympiadMath_qwen
0.1,0.7361111111111112,216,0,lora_abstention,olympiadMath_qwen
0.2,0.7106481481481481,432,0,lora_abstention,olympiadMath_qwen
0.3,0.6882716049382716,648,0,lora_abstention,olympiadMath_qwen
0.4,0.6631944444444444,864,0,lora_abstention,olympiadMath_qwen
0.5,0.6555555555555556,1080,0,lora_abstention,olympiadMath_qwen
0.6,0.6435185185185185,1296,0,lora_abstention,olympiadMath_qwen
0.7,0.625,1512,0,lora_abstention,olympiadMath_qwen
0.8,0.6145833333333334,1728,0,lora_abstention,olympiadMath_qwen
0.9,0.5910493827160493,1944,0,lora_abstention,olympiadMath_qwen
0.1,0.5462962962962963,216,1,lora_abstention,olympiadMath_qwen
0.2,0.5509259259259259,432,1,lora_abstention,olympiadMath_qwen
0.3,0.5725308641975309,648,1,lora_abstention,olympiadMath_qwen
0.4,0.5567129629629629,864,1,lora_abstention,olympiadMath_qwen
0.5,0.5527777777777778,1080,1,lora_abstention,olympiadMath_qwen
0.6,0.5470679012345679,1296,1,lora_abstention,olympiadMath_qwen
0.7,0.5548941798941799,1512,1,lora_abstention,olympiadMath_qwen
0.8,0.5625,1728,1,lora_abstention,olympiadMath_qwen
0.9,0.565843621399177,1944,1,lora_abstention,olympiadMath_qwen
0.1,0.6712962962962963,216,2,lora_abstention,olympiadMath_qwen
0.2,0.6851851851851852,432,2,lora_abstention,olympiadMath_qwen
0.3,0.6820987654320988,648,2,lora_abstention,olympiadMath_qwen
0.4,0.6770833333333334,864,2,lora_abstention,olympiadMath_qwen
0.5,0.6777777777777778,1080,2,lora_abstention,olympiadMath_qwen
0.6,0.6566358024691358,1296,2,lora_abstention,olympiadMath_qwen
0.7,0.6342592592592593,1512,2,lora_abstention,olympiadMath_qwen
0.8,0.6186342592592593,1728,2,lora_abstention,olympiadMath_qwen
0.9,0.5977366255144033,1944,2,lora_abstention,olympiadMath_qwen
0.1,0.6990740740740741,216,3,lora_abstention,olympiadMath_qwen
0.2,0.7245370370370371,432,3,lora_abstention,olympiadMath_qwen
0.3,0.7175925925925926,648,3,lora_abstention,olympiadMath_qwen
0.4,0.6921296296296297,864,3,lora_abstention,olympiadMath_qwen
0.5,0.6833333333333333,1080,3,lora_abstention,olympiadMath_qwen
0.6,0.6589506172839507,1296,3,lora_abstention,olympiadMath_qwen
0.7,0.6342592592592593,1512,3,lora_abstention,olympiadMath_qwen
0.8,0.6105324074074074,1728,3,lora_abstention,olympiadMath_qwen
0.9,0.5889917695473251,1944,3,lora_abstention,olympiadMath_qwen
0.1,0.7731481481481481,216,4,lora_abstention,olympiadMath_qwen
0.2,0.7476851851851852,432,4,lora_abstention,olympiadMath_qwen
0.3,0.7145061728395061,648,4,lora_abstention,olympiadMath_qwen
0.4,0.6898148148148148,864,4,lora_abstention,olympiadMath_qwen
0.5,0.6805555555555556,1080,4,lora_abstention,olympiadMath_qwen
0.6,0.6535493827160493,1296,4,lora_abstention,olympiadMath_qwen
0.7,0.6435185185185185,1512,4,lora_abstention,olympiadMath_qwen
0.8,0.6244212962962963,1728,4,lora_abstention,olympiadMath_qwen
0.9,0.5992798353909465,1944,4,lora_abstention,olympiadMath_qwen
0.1,0.5601851851851852,216,0,self_assessment,olympiadMath_qwen
0.2,0.5671296296296297,432,0,self_assessment,olympiadMath_qwen
0.3,0.5817901234567902,648,0,self_assessment,olympiadMath_qwen
0.4,0.6076388888888888,864,0,self_assessment,olympiadMath_qwen
0.5,0.6037037037037037,1080,0,self_assessment,olympiadMath_qwen
0.6,0.5949074074074074,1296,0,self_assessment,olympiadMath_qwen
0.7,0.5787037037037037,1512,0,self_assessment,olympiadMath_qwen
0.8,0.5711805555555556,1728,0,self_assessment,olympiadMath_qwen
0.9,0.5673868312757202,1944,0,self_assessment,olympiadMath_qwen
0.1,0.5601851851851852,216,1,self_assessment,olympiadMath_qwen
0.2,0.5671296296296297,432,1,self_assessment,olympiadMath_qwen
0.3,0.5817901234567902,648,1,self_assessment,olympiadMath_qwen
0.4,0.6076388888888888,864,1,self_assessment,olympiadMath_qwen
0.5,0.6037037037037037,1080,1,self_assessment,olympiadMath_qwen
0.6,0.5949074074074074,1296,1,self_assessment,olympiadMath_qwen
0.7,0.5787037037037037,1512,1,self_assessment,olympiadMath_qwen
0.8,0.5711805555555556,1728,1,self_assessment,olympiadMath_qwen
0.9,0.5673868312757202,1944,1,self_assessment,olympiadMath_qwen
0.1,0.5601851851851852,216,2,self_assessment,olympiadMath_qwen
0.2,0.5671296296296297,432,2,self_assessment,olympiadMath_qwen
0.3,0.5817901234567902,648,2,self_assessment,olympiadMath_qwen
0.4,0.6076388888888888,864,2,self_assessment,olympiadMath_qwen
0.5,0.6037037037037037,1080,2,self_assessment,olympiadMath_qwen
0.6,0.5949074074074074,1296,2,self_assessment,olympiadMath_qwen
0.7,0.5787037037037037,1512,2,self_assessment,olympiadMath_qwen
0.8,0.5711805555555556,1728,2,self_assessment,olympiadMath_qwen
0.9,0.5673868312757202,1944,2,self_assessment,olympiadMath_qwen
0.1,0.5601851851851852,216,3,self_assessment,olympiadMath_qwen
0.2,0.5671296296296297,432,3,self_assessment,olympiadMath_qwen
0.3,0.5817901234567902,648,3,self_assessment,olympiadMath_qwen
0.4,0.6076388888888888,864,3,self_assessment,olympiadMath_qwen
0.5,0.6037037037037037,1080,3,self_assessment,olympiadMath_qwen
0.6,0.5949074074074074,1296,3,self_assessment,olympiadMath_qwen
0.7,0.5787037037037037,1512,3,self_assessment,olympiadMath_qwen
0.8,0.5711805555555556,1728,3,self_assessment,olympiadMath_qwen
0.9,0.5673868312757202,1944,3,self_assessment,olympiadMath_qwen
0.1,0.5601851851851852,216,4,self_assessment,olympiadMath_qwen
0.2,0.5671296296296297,432,4,self_assessment,olympiadMath_qwen
0.3,0.5817901234567902,648,4,self_assessment,olympiadMath_qwen
0.4,0.6076388888888888,864,4,self_assessment,olympiadMath_qwen
0.5,0.6037037037037037,1080,4,self_assessment,olympiadMath_qwen
0.6,0.5949074074074074,1296,4,self_assessment,olympiadMath_qwen
0.7,0.5787037037037037,1512,4,self_assessment,olympiadMath_qwen
0.8,0.5711805555555556,1728,4,self_assessment,olympiadMath_qwen
0.9,0.5673868312757202,1944,4,self_assessment,olympiadMath_qwen
